Username,Followers,Following,Posts,Ratio,Score,Verdict,Why
goose4i448488ei,384,13000,0,33.9,95,BOT,"ratio 34x, only 0 posts"
greenlove129,385,5799,1,15.1,95,BOT,"ratio 15x, only 1 posts"
gudda_ppa12345,107,4260,0,39.8,95,BOT,"ratio 40x, only 0 posts"
ha_2_584,60,2133,0,35.5,95,BOT,"ratio 36x, only 0 posts"
hdksbsekoj,909,4769,0,5.2,95,BOT,"no posts, follows 4769"
hhsisbjevw,80,3475,0,43.4,95,BOT,"ratio 43x, only 0 posts"
im__shubham__302d,1331,26000,5,19.5,95,BOT,"ratio 20x, only 5 posts"
im_jashan_x01,117,1367,0,11.7,95,BOT,"no posts, follows 1367"
its_______sufiyan___,179,3003,2,16.8,95,BOT,"ratio 17x, only 2 posts"
its_aafreen_bano_7,230,7976,14,34.7,95,BOT,"ratio 35x, only 14 posts"
its_panwar90,97,1018,0,10.5,95,BOT,"no posts, follows 1018"
itz_navneet093,76,1137,0,15.0,95,BOT,"no posts, follows 1137"
itz_zainab._.90,5,208,0,41.6,95,BOT,"ratio 42x, only 0 posts"
jaat1908124,360,4488,0,12.5,95,BOT,"no posts, follows 4488"
jaatt6667,201,3785,1,18.8,95,BOT,"ratio 19x, only 1 posts"
jannuu7447,64,1201,0,18.8,95,BOT,"ratio 19x, only 0 posts"
kajal_3000000_up67,21,866,3,41.2,95,BOT,"ratio 41x, only 3 posts"
kanpur5177,87,1979,6,22.7,95,BOT,"ratio 23x, only 6 posts"
king.__o__7172,209,7468,0,35.7,95,BOT,"ratio 36x, only 0 posts"
kirrakk_boyzz_2,66,1469,4,22.3,95,BOT,"ratio 22x, only 4 posts"
knox_079,838,11000,0,13.1,95,BOT,"no posts, follows 11000"
koala.66629105,460,3641,0,7.9,95,BOT,"no posts, follows 3641"
koala.7724031,102,4768,0,46.7,95,BOT,"ratio 47x, only 0 posts"
kuka9.876,398,9830,0,24.7,95,BOT,"ratio 25x, only 0 posts"
kushdill2026,131,6482,1,49.5,95,BOT,"ratio 49x, only 1 posts"
lara.sofiaa010,129,3178,0,24.6,95,BOT,"ratio 25x, only 0 posts"
leheen_645,116,3927,0,33.9,95,BOT,"ratio 34x, only 0 posts"
lion.5363036,801,8470,0,10.6,95,BOT,"no posts, follows 8470"
llama.9533603,92,3914,0,42.5,95,BOT,"ratio 43x, only 0 posts"
llama2501756,205,7753,0,37.8,95,BOT,"ratio 38x, only 0 posts"
love_34.2,521,6789,0,13.0,95,BOT,"no posts, follows 6789"
loveja198,385,5814,0,15.1,95,BOT,"ratio 15x, only 0 posts"
m_4x_gunda,628,2060,0,3.3,95,BOT,"no posts, follows 2060"
maahi5162023,144,2998,1,20.8,95,BOT,"ratio 21x, only 1 posts"
mahadev_girl12340,52,1446,1,27.8,95,BOT,"ratio 28x, only 1 posts"
maho_4555,78,3459,0,44.3,95,BOT,"ratio 44x, only 0 posts"
md1119545,279,6476,1,23.2,95,BOT,"ratio 23x, only 1 posts"
mdvais7866,6,222,5,37.0,95,BOT,"ratio 37x, only 5 posts"
minouch19_88,202,9106,9,45.1,95,BOT,"ratio 45x, only 9 posts"
miss____ritika__08,312,2741,0,8.8,95,BOT,"no posts, follows 2741"
miss_janvi_921,220,6107,0,27.8,95,BOT,"ratio 28x, only 0 posts"
miss_priyadubeyyy,172,4143,0,24.1,95,BOT,"ratio 24x, only 0 posts"
mmm7.8600,394,11000,1,27.9,95,BOT,"ratio 28x, only 1 posts"
mohit_sing_445,97,4054,0,41.8,95,BOT,"ratio 42x, only 0 posts"
moose.6415529,188,1272,0,6.8,95,BOT,"no posts, follows 1272"
mr__anuj__saini__gorakhpuriya,74,2554,7,34.5,95,BOT,"ratio 35x, only 7 posts"
mr_kewat_000,249,2572,0,10.3,95,BOT,"no posts, follows 2572"
mr_maroof_23,94,3820,0,40.6,95,BOT,"ratio 41x, only 0 posts"
mun26508,87,3727,0,42.8,95,BOT,"ratio 43x, only 0 posts"
murl.i2893,65,3093,0,47.6,95,BOT,"ratio 48x, only 0 posts"
mushkan_thakur2252_,239,7276,0,30.4,95,BOT,"ratio 30x, only 0 posts"
nikku_2005_xx,37,895,0,24.2,95,BOT,"ratio 24x, only 0 posts"
nnnnn.nn4400,123,3354,0,27.3,95,BOT,"ratio 27x, only 0 posts"
noora.tamer_4,6,156,1,26.0,95,BOT,"ratio 26x, only 1 posts"
ns_kid_omiii160_,20,616,0,30.8,95,BOT,"ratio 31x, only 0 posts"
nundu302,200,9360,2,46.8,95,BOT,"ratio 47x, only 2 posts"
offi_cialkaran077,479,9193,0,19.2,95,BOT,"ratio 19x, only 0 posts"
op_smiley_99,110,1383,0,12.6,95,BOT,"no posts, follows 1383"
otter.4615779,6,230,0,38.3,95,BOT,"ratio 38x, only 0 posts"
otter.9478195,798,5335,0,6.7,95,BOT,"no posts, follows 5335"
pand.a306406,900,12000,0,13.3,95,BOT,"no posts, follows 12000"
patel125226,313,5994,0,19.2,95,BOT,"ratio 19x, only 0 posts"
penguin.895518,345,9726,0,28.2,95,BOT,"ratio 28x, only 0 posts"
poojapatil_376,273,12000,5,44.0,95,BOT,"ratio 44x, only 5 posts"
prince_god_7_,570,11000,6,19.3,95,BOT,"ratio 19x, only 6 posts"
prisca_miss02,177,4346,1,24.6,95,BOT,"ratio 25x, only 1 posts"
priya.singh12103,330,15000,0,45.5,95,BOT,"ratio 45x, only 0 posts"
prokie_gits,153,3049,0,19.9,95,BOT,"ratio 20x, only 0 posts"
qqqq.qqqq9379,95,3328,0,35.0,95,BOT,"ratio 35x, only 0 posts"
queentiwari51107,426,9486,0,22.3,95,BOT,"ratio 22x, only 0 posts"
rabbit94100,191,1830,0,9.6,95,BOT,"no posts, follows 1830"
raghuvir9578,400,4571,0,11.4,95,BOT,"no posts, follows 4571"
rajajani2366,252,8832,0,35.0,95,BOT,"ratio 35x, only 0 posts"
rashm_i3737,102,1220,0,12.0,95,BOT,"no posts, follows 1220"
ravi.sh8739,447,3971,0,8.9,95,BOT,"no posts, follows 3971"
ravi_mahato.203_,248,2221,0,9.0,95,BOT,"no posts, follows 2221"
ravikumar55562026,170,2806,1,16.5,95,BOT,"ratio 17x, only 1 posts"
ray_an.belhout,254,5545,0,21.8,95,BOT,"ratio 22x, only 0 posts"
reinde586,752,2388,0,3.2,95,BOT,"no posts, follows 2388"
rhino.7585357,396,4851,0,12.2,95,BOT,"no posts, follows 4851"
riha_nkhan6905,177,5677,0,32.1,95,BOT,"ratio 32x, only 0 posts"
rikshawala_vishya_8889,86,2118,16,24.6,95,BOT,"ratio 25x, only 16 posts"
riya_______888895,42,1588,11,37.8,95,BOT,"ratio 38x, only 11 posts"
rkbishnoi544,759,11000,0,14.5,95,BOT,"no posts, follows 11000"
rohitsharma.45452026,716,13000,0,18.2,95,BOT,"ratio 18x, only 0 posts"
roki54098,436,16000,0,36.7,95,BOT,"ratio 37x, only 0 posts"
rrrrrrrr01183,86,2012,0,23.4,95,BOT,"ratio 23x, only 0 posts"
sachin_kosre_001,253,7078,10,28.0,95,BOT,"ratio 28x, only 10 posts"
saddusajid1234,18,800,0,44.4,95,BOT,"ratio 44x, only 0 posts"
saini__boy__0.02,30,568,0,18.9,95,BOT,"ratio 19x, only 0 posts"
sararti__boy_143,184,3898,0,21.2,95,BOT,"ratio 21x, only 0 posts"
